Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
11.08.2021;16:40:00; ;417,734039;417,592285;417,842377;23,390821;9,178694;23,102367;4,393553;54,052723;39,59079;54,477955;14,048183;10,506661;3,628448;9,826049;1,825354;0,210181;0,214028;0,206591; ; ; ;0,033974;58,416618;49,978111;2427,329102;9831,734375;9831,734375;26711,38672;4522,623047;11178,84375;27497,82813;0,879495;0,879495;0,92142;0,421707;4152,45752;241,337021;240,867615;241,313934;243,335419;243,181458;243,124588;239,920502;239,119278;239,635742;0,207039;0,214451;0,210106
11.08.2021;16:50:00; ;417,843658;418,311005;418,126129;19,846954;9,298129;17,154705;3,260388;32,685131;22,491999;35,451302;13,523129;9,245644;3,6346;3,630308;1,964369;0,178108;0,184873;0,178074; ; ; ;0,064904;117,99102;49,997128;522,235596;4796,292969;4796,292969;12577,56445;3934,452148;6949,774414;13398,02148;0,690136;0,690136;0,786499;0,785241;3780,175781;241,382294;241,151276;241,62738;243,066299;243,020355;243,451019;240,36969;239,981201;240,346603;0,178757;0,180833;0,182441
11.08.2021;17:00:00; ;418,099335;418,772522;418,769165;22,723635;10,248849;10,488594;3,821963;43,730923;20,098185;24,274134;13,923282;11,328652;4,080922;3,771142;2,526214;0,740235;0,779552;0,745824; ; ; ;0,106438;120,701172;50,008938;-806,510742;4549,091797;4549,091797;12344,43945;3459,504883;6490,58252;12899,70996;0,700876;0,700876;0,838443;0,650002;2969,486572;241,537354;241,394516;242,014206;243,563248;243,574158;244,204361;227,833176;226,728241;228,566803;0,732751;0,774588;0,772107
11.08.2021;17:10:00; ;418,907684;419,438812;419,408142;32,811489;11,558077;23,198248;4,033401;69,118309;44,109074;52,327522;14,813116;19,311216;3,405208;4,624131;2,074574;0,156144;0,17254;0,16768; ; ; ;0,081487;54,871265;50,018154;1426,637207;13274,81543;13274,81543;22006,91797;4717,976074;14030,90332;22502,63086;0,946113;0,946113;0,975828;0,223955;2977,73291;242,009979;241,861526;242,29454;243,608627;243,870911;243,885071;241,009644;240,559692;241,294876;0,1595;0,173111;0,171514
11.08.2021;17:20:00; ;419,54364;419,986572;420,199677;23,582314;7,907515;14,635048;8,252582;39,879322;17,054979;27,701679;20,832478;10,697842;3,306007;4,922647;3,979179;0,158851;0,17272;0,160499; ; ; ;0,091414;99,977081;50,008133;-286,692749;6416,950195;6416,950195;13592,66602;3731,60083;7938,67627;14534,21094;0,808315;0,808315;0,890171;0,511842;3294,842041;242,482254;242,184631;242,639252;243,623291;244,442398;245,304428;241,637619;240,792831;241,242294;0,161046;0,173708;0,166034
11.08.2021;17:30:00; ;419,694031;419,407227;419,947845;21,132715;10,603625;10,684354;6,765399;36,68512;25,611223;25,020624;20,876663;13,231842;3,78566;4,356997;1,133696;0,089899;0,1151;0,132683; ; ; ;0,07459;46,901852;50,000114;1974,873779;7688,25293;7688,25293;18525,63086;4293,64209;8920,038086;18873,66211;0,861908;0,861908;0,919848;0,426455;3288,847656;242,514526;242,064011;242,335236;243,165665;242,754822;243,105621;241,593536;241,136063;241,051224;0,09672;0,124998;0,149887
11.08.2021;17:40:00; ;419,574829;418,777588;418,911224;25,72279;15,363647;27,158346;8,018849;40,419373;32,8349;44,628273;12,932657;11,249329;4,123168;3,757056;1,849498;0,113918;0,134162;0,114052; ; ; ;0,118143;35,879353;49,989006;2069,242432;13943,80469;13943,80469;23095,82617;4120,154785;14456,14648;23303,38086;0,964559;0,964559;0,985605;0,171535;2395,473145;242,219971;241,742203;241,920807;242,790344;242,481979;242,544785;241,512497;240,623886;240,897781;0,111729;0,145951;0,119378
11.08.2021;17:50:00; ;420,135101;419,828339;419,877441;25,404676;10,714184;8,877934;5,984187;40,472603;41,637962;15,428712;10,550051;12,192009;4,521255;4,046297;0,841964;0,089358;0,113447;0,094487; ; ; ;0,045532;71,854149;49,993622;2714,49292;8431,888672;8431,888672;14562,21973;4470,149414;9211,870117;15078,16309;0,915329;0,915329;0,961848;0,284435;2404,825439;242,597412;242,310272;242,463089;243,137878;242,990509;243,20282;241,678589;241,402542;241,608032;0,088849;0,128196;0,103057
11.08.2021;18:00:00; ;420,80014;420,488281;420,533905;29,847532;6,716918;17,642014;7,573104;53,800625;20,788429;30,73506;12,362161;14,699411;3,357278;6,061687;1,532918;0,07833;0,097635;0,083458;0,419003;0,43215;0,418355;0,046495;81,685814;50,009548;5069,366699;9899,443359;9899,443359;15668,69434;5944,3125;10548,3457;16192,88086;0,938483;0,938483;0,97421;0,231618;2298,082275;242,937744;242,798935;242,778351;243,807144;243,720123;243,528412;241,818115;241,682571;242,055344;0,081612;0,10595;0,085542
11.08.2021;18:10:00; ;419,997314;419,775269;419,177032;24,164507;8,844522;31,402248;7,49641;36,937675;34,928215;45,38588;14,03031;17,809774;3,250971;19,222092;2,124606;0,156912;0,164776;0,164207; ; ; ;0,117308;56,986515;50,025822;8759,263672;13708,14258;13708,14258;20097,90625;9325,780273;14171,36133;20495,57031;0,967313;0,967313;0,987623;0,158812;2179,945313;242,493713;242,270462;242,09256;244,576752;244,502243;244,540115;241,542709;241,072968;240,937851;0,158466;0,160627;0,168775
