Date;Time;Flagging;'U12_[V]';'IL2_[A]';'IL3_[A]';'Plt_U12';'Plt_U23';'Plt_U31';'Pst_UL1';'Pst_UL2';'Pst_UL3'
13.08.2021;07:30:00; ;411,158325;14,839312;13,398368; ; ; ;0,681071;0,717782;0,742709
13.08.2021;07:40:00; ;411,145325;14,112907;7,430215; ; ; ;0,722072;0,692403;0,747166
13.08.2021;07:50:00; ;413,033966;16,179209;13,705156; ; ; ;0,715039;0,691676;0,71545
13.08.2021;08:00:00; ;411,657501;9,230219;7,774565;0,668359;0,70006;0,69264;0,675258;0,705277;0,742912
13.08.2021;08:10:00; ;410,87912;16,369799;7,195693; ; ; ;1,142151;1,15236;1,182973
13.08.2021;08:20:00; ;410,716095;17,873489;9,88032; ; ; ;0,677941;0,712434;0,719524
13.08.2021;08:30:00; ;409,775604;18,456512;8,396296; ; ; ;0,69041;0,696166;0,745905
13.08.2021;08:40:00; ;410,273315;17,32436;6,635282; ; ; ;0,686141;0,723334;0,716608
13.08.2021;08:50:00; ;410,514923;17,077698;7,18782; ; ; ;0,694937;0,738602;0,732638
13.08.2021;09:00:00; ;410,426819;17,632051;6,597884; ; ; ;0,684907;0,721452;0,715279
13.08.2021;09:10:00; ;411,163818;11,890252;8,308903; ; ; ;0,685807;0,722932;0,735323
13.08.2021;09:20:00; ;410,023315;12,649204;5,953077; ; ; ;0,683074;0,714214;0,713872
13.08.2021;09:30:00; ;410,106934;10,23493;8,676517; ; ; ;0,689053;0,733377;0,720385
13.08.2021;09:40:00; ;409,917175;14,876424;8,200542; ; ; ;0,698012;0,722642;0,713736
13.08.2021;09:50:00; ;410,769623;14,662507;8,926724; ; ; ;0,69523;0,726839;0,708055
13.08.2021;10:00:00; ;411,544098;8,396187;13,703752;0,755749;0,781989;0,771575;0,679908;0,721822;0,709971
13.08.2021;10:10:00; ;412,654968;13,864426;13,723949; ; ; ;0,69202;0,723239;0,704683
13.08.2021;10:20:00; ;412,619324;11,287672;10,478804; ; ; ;0,689866;0,726539;0,707753
13.08.2021;10:30:00; ;412,254517;8,130243;13,787334; ; ; ;0,682349;0,717645;0,698476
13.08.2021;10:40:00; ;411,167603;13,098904;9,365349; ; ; ;0,670189;0,710412;0,716304
13.08.2021;10:50:00; ;410,545746;13,581781;13,218392; ; ; ;0,665936;0,700259;0,724585
13.08.2021;11:00:00; ;410,41449;18,353765;13,089184; ; ; ;0,672929;0,691318;0,740122
13.08.2021;11:10:00; ;409,615875;9,005006;12,06495; ; ; ;0,670062;0,700961;0,725806
13.08.2021;11:20:00; ;410,160431;12,779808;13,109604; ; ; ;0,668208;0,69819;0,729045
13.08.2021;11:30:00; ;410,240509;10,997423;9,434347; ; ; ;0,668686;0,705087;0,725763
13.08.2021;11:40:00; ;410,002869;13,53366;17,272091; ; ; ;0,711377;0,74336;0,738894
13.08.2021;11:50:00; ;409,485016;15,294947;19,499887; ; ; ;0,684098;0,709122;0,751817
13.08.2021;12:00:00; ;409,417358;11,703543;9,605826;0,68709;0,721363;0,701592;0,792248;0,822902;0,81945
13.08.2021;12:10:00; ;409,872406;14,313076;8,125823; ; ; ;0,733984;0,763692;0,755262
13.08.2021;12:20:00; ;410,36676;16,196871;9,568789; ; ; ;0,669637;0,712858;0,701554
13.08.2021;12:30:00; ;409,995178;15,654729;16,191229; ; ; ;0,678389;0,702922;0,698213
13.08.2021;12:40:00; ;409,64212;16,589188;14,168136; ; ; ;0,687764;0,74008;0,72361
13.08.2021;12:50:00; ;409,559998;20,271326;9,146364; ; ; ;0,672077;0,720598;0,708814
13.08.2021;13:00:00; ;410,042999;18,384714;19,47543; ; ; ;0,700775;0,715984;0,724749
13.08.2021;13:10:00; ;409,412018;19,218;13,007691; ; ; ;0,681666;0,713201;0,700557
13.08.2021;13:20:00; ;408,931427;21,320446;9,456314; ; ; ;0,689285;0,720722;0,708848
13.08.2021;13:30:00; ;409,223877;26,846714;13,637866; ; ; ;0,696808;0,722683;0,717326
13.08.2021;13:40:00; ;409,736145;24,483023;10,76904; ; ; ;0,681113;0,720281;0,709742
13.08.2021;13:50:00; ;410,928345;21,356602;13,468884; ; ; ;0,676094;0,71376;0,705743
13.08.2021;14:00:00; ;411,678864;29,276525;13,875759;0,710775;0,73039;0,711776;0,6795;0,716521;0,705082
13.08.2021;14:10:00; ;410,394989;16,45093;13,564715; ; ; ;0,662791;0,69681;0,727142
13.08.2021;14:20:00; ;409,862976;16,705212;19,711483; ; ; ;0,670506;0,712405;0,725097
13.08.2021;14:30:00; ;409,899109;27,411474;12,836744; ; ; ;1,07805;1,147747;1,156565
13.08.2021;14:40:00; ;411,029114;32,464344;14,820033; ; ; ;0,198187;0,204325;0,231625
13.08.2021;14:50:00; ;412,286499;24,83993;11,22098; ; ; ;0,130774;0,154543;0,170739
13.08.2021;15:00:00; ;412,170776;25,207663;11,062605; ; ; ;0,142334;0,141437;0,184962
13.08.2021;15:10:00; ;412,598358;27,743855;9,925731; ; ; ;0,13635;0,186922;0,197806
13.08.2021;15:20:00; ;412,928925;18,311012;10,456013; ; ; ;0,113423;0,162139;0,193399
13.08.2021;15:30:00; ;412,413422;24,915331;9,516747; ; ; ;0,119917;0,129386;0,168886
13.08.2021;15:40:00; ;411,762512;25,833994;17,506845; ; ; ;0,136094;0,130083;0,13156
13.08.2021;15:50:00; ;412,047638;17,475418;30,543146; ; ; ;0,114156;0,162589;0,129403
13.08.2021;16:00:00; ;412,152954;10,489914;27,942774;0,579039;0,611225;0,585479;0,131846;0,159203;0,141767
13.08.2021;16:10:00; ;412,24353;14,927289;12,975812; ; ; ;0,112956;0,171044;0,134384
13.08.2021;16:20:00; ;412,622192;14,145203;13,661279; ; ; ;0,131566;0,133262;0,141108
13.08.2021;16:30:00; ;412,478271;17,252445;21,830605; ; ; ;0,143995;0,14854;0,145712
13.08.2021;16:40:00; ;412,609406;17,137014;16,796747; ; ; ;0,114415;0,121269;0,150019
13.08.2021;16:50:00; ;412,148621;26,940142;28,254848; ; ; ;0,119863;0,119377;0,144224
13.08.2021;17:00:00; ;413,379242;19,404173;29,894911; ; ; ;0,198208;0,198733;0,205356
13.08.2021;17:10:00; ;414,519806;20,902302;24,968054; ; ; ;0,199763;0,199325;0,208022
13.08.2021;17:20:00; ;413,842377;9,272398;21,385267; ; ; ;0,111859;0,120202;0,125795
13.08.2021;17:30:00; ;414,391663;15,931519;28,607893; ; ; ;0,093077;0,092424;0,10298
13.08.2021;17:40:00; ;414,46167;8,448946;16,028812; ; ; ;0,10897;0,113651;0,139602
13.08.2021;17:50:00; ;414,135071;11,779749;15,778088; ; ; ;0,105901;0,11009;0,120576
13.08.2021;18:00:00; ;415,289764;19,641914;18,126472;0,13865;0,148167;0,145152;0,160086;0,171674;0,20061
13.08.2021;18:10:00; ;419,978241;28,447969;21,004211; ; ; ;0,207626;0,213561;0,238295
13.08.2021;18:20:00; ;420,068512;23,037975;20,544323; ; ; ;0,147129;0,154911;0,182665
13.08.2021;18:30:00; ;419,538605;21,596197;18,288137; ; ; ;0,112993;0,090683;0,100146
13.08.2021;18:40:00; ;419,432831;18,237209;24,488438; ; ; ;0,098949;0,096187;0,094993
13.08.2021;18:50:00; ;419,454926;21,781675;30,507488; ; ; ;0,085338;0,092248;0,095398
13.08.2021;19:00:00; ;419,299011;21,674046;25,418083; ; ; ;0,095837;0,085767;0,082035
13.08.2021;19:10:00; ;420,093719;31,207933;32,129185; ; ; ;0,144003;0,146224;0,153063
13.08.2021;19:20:00; ;420,762177;30,147421;44,692245; ; ; ;0,092199;0,098667;0,09738
13.08.2021;19:30:00; ;419,933105;36,74799;29,824781; ; ; ;0,101982;0,136872;0,102092
13.08.2021;19:40:00; ;420,294647;33,714779;34,291241; ; ; ;0,077614;0,079592;0,083881
13.08.2021;19:50:00; ;420,259064;29,068792;37,380344; ; ; ;0,09696;0,117758;0,117053
13.08.2021;20:00:00; ;419,318909;36,763775;25,634563;0,12678;0,14162;0,137514;0,119564;0,118556;0,116473
13.08.2021;20:10:00; ;419,382172;32,180332;27,228058; ; ; ;0,13895;0,13958;0,139694
13.08.2021;20:20:00; ;419,281433;31,872305;33,736473; ; ; ;0,135968;0,136305;0,137739
13.08.2021;20:30:00; ;418,871246;37,88459;36,001083; ; ; ;0,075809;0,072424;0,068656
13.08.2021;20:40:00; ;418,342438;33,715126;28,300985; ; ; ;0,102632;0,107196;0,119732
13.08.2021;20:50:00; ;418,486786;33,018223;30,701248; ; ; ;0,077247;0,087453;0,083191
13.08.2021;21:00:00; ;419,468719;37,605667;25,728556; ; ; ;0,076374;0,074689;0,07709
13.08.2021;21:10:00; ;420,818207;39,526665;25,067785; ; ; ;0,068467;0,073136;0,086764
13.08.2021;21:20:00; ;421,229218;35,693802;22,880627; ; ; ;0,08559;0,100274;0,102053
13.08.2021;21:30:00; ;417,641785;32,754681;22,630859; ; ; ;0,135079;0,148432;0,13992
13.08.2021;21:40:00; ;416,16922;39,250977;16,9876; ; ; ;0,081806;0,094611;0,090297
13.08.2021;21:50:00; ;417,097717;39,506981;17,80452; ; ; ;0,074563;0,088555;0,081493
13.08.2021;22:00:00; ;417,02005;29,534672;23,667849;0,103011;0,10595;0,104011;0,082659;0,087456;0,104992
13.08.2021;22:10:00; ;413,615784;32,196003;17,773579; ; ; ;0,198716;0,232243;0,205139
