Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'U12_max_[V]';'U23_max_[V]';'U31_max_[V]';'U12_min_[V]';'U23_min_[V]';'U31_min_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
2021/08/11;16:20:00; ;417,908997;417,827271;418,357697;421,456879;421,083740;421,948669;415,818268;415,811798;416,557892;28,533287;17,266655;24,956745;4,729539;50,284485;27,848461;52,255455;11,869193;10,664631;4,107624;4,783282;1,352916;0,191831;0,190265;0,203738; ; ; ;0,077552;47,612236;49,998539;-7468,732422;12295,236328;12295,236328;24381,994141;5172,523438;12993,536133;24566,375000;0,946258;0,946258;0,980738;0,199167;2452,091309;241,529022;240,850586;241,673203;243,397980;242,957718;243,718704;240,312531;239,743973;240,692352;0,189698;0,194098;0,203889
2021/08/11;16:30:00; ;418,146393;417,825348;417,963715;420,814392;420,831268;420,550781;392,158325;392,372375;393,972504;19,574022;8,666235;19,125875;5,267910;29,797031;27,386467;34,543552;12,607525;11,962698;4,627524;4,358628;1,717519;0,753255;0,760297;0,741540; ; ; ;0,044849;153,744141;49,994022;-4627,030273;2184,115234;2184,115234;9800,243164;4883,882813;6086,603516;11258,584961;0,358840;0,358840;0,464041;1,908914;4203,241211;241,551498;240,899200;241,511627;243,050140;242,522598;243,035248;227,321411;225,473083;227,614548;0,734486;0,773327;0,747741
2021/08/11;16:40:00; ;417,734039;417,592285;417,842377;421,585846;421,293793;420,846741;415,090454;414,334869;415,407410;23,390821;9,178694;23,102367;4,393553;54,052723;39,590790;54,477955;14,048183;10,506661;3,628448;9,826049;1,825354;0,210181;0,214028;0,206591; ; ; ;0,033974;58,416618;49,978111;2427,329102;9831,734375;9831,734375;26711,386719;4522,623047;11178,843750;27497,828125;0,879495;0,879495;0,921420;0,421707;4152,457520;241,337021;240,867615;241,313934;243,335419;243,181458;243,124588;239,920502;239,119278;239,635742;0,207039;0,214451;0,210106
2021/08/11;16:50:00; ;417,843658;418,311005;418,126129;421,025085;421,302795;421,288940;416,081604;416,274109;416,080566;19,846954;9,298129;17,154705;3,260388;32,685131;22,491999;35,451302;13,523129;9,245644;3,634600;3,630308;1,964369;0,178108;0,184873;0,178074; ; ; ;0,064904;117,991020;49,997128;522,235596;4796,292969;4796,292969;12577,564453;3934,452148;6949,774414;13398,021484;0,690136;0,690136;0,786499;0,785241;3780,175781;241,382294;241,151276;241,627380;243,066299;243,020355;243,451019;240,369690;239,981201;240,346603;0,178757;0,180833;0,182441
2021/08/11;17:00:00; ;418,099335;418,772522;418,769165;421,758057;422,522552;422,438019;393,338318;394,226501;395,646149;22,723635;10,248849;10,488594;3,821963;43,730923;20,098185;24,274134;13,923282;11,328652;4,080922;3,771142;2,526214;0,740235;0,779552;0,745824; ; ; ;0,106438;120,701172;50,008938;-806,510742;4549,091797;4549,091797;12344,439453;3459,504883;6490,582520;12899,709961;0,700876;0,700876;0,838443;0,650002;2969,486572;241,537354;241,394516;242,014206;243,563248;243,574158;244,204361;227,833176;226,728241;228,566803;0,732751;0,774588;0,772107
2021/08/11;17:10:00; ;418,907684;419,438812;419,408142;421,872650;422,744965;422,071442;417,182587;417,551178;417,432739;32,811489;11,558077;23,198248;4,033401;69,118309;44,109074;52,327522;14,813116;19,311216;3,405208;4,624131;2,074574;0,156144;0,172540;0,167680; ; ; ;0,081487;54,871265;50,018154;1426,637207;13274,815430;13274,815430;22006,917969;4717,976074;14030,903320;22502,630859;0,946113;0,946113;0,975828;0,223955;2977,732910;242,009979;241,861526;242,294540;243,608627;243,870911;243,885071;241,009644;240,559692;241,294876;0,159500;0,173111;0,171514
2021/08/11;17:20:00; ;419,543640;419,986572;420,199677;421,920563;424,835449;423,045502;418,213013;416,665009;418,458954;23,582314;7,907515;14,635048;8,252582;39,879322;17,054979;27,701679;20,832478;10,697842;3,306007;4,922647;3,979179;0,158851;0,172720;0,160499; ; ; ;0,091414;99,977081;50,008133;-286,692749;6416,950195;6416,950195;13592,666016;3731,600830;7938,676270;14534,210938;0,808315;0,808315;0,890171;0,511842;3294,842041;242,482254;242,184631;242,639252;243,623291;244,442398;245,304428;241,637619;240,792831;241,242294;0,161046;0,173708;0,166034
2021/08/11;17:30:00; ;419,694031;419,407227;419,947845;420,811981;420,765320;421,621521;418,337830;417,998169;417,947815;21,132715;10,603625;10,684354;6,765399;36,685120;25,611223;25,020624;20,876663;13,231842;3,785660;4,356997;1,133696;0,089899;0,115100;0,132683; ; ; ;0,074590;46,901852;50,000114;1974,873779;7688,252930;7688,252930;18525,630859;4293,642090;8920,038086;18873,662109;0,861908;0,861908;0,919848;0,426455;3288,847656;242,514526;242,064011;242,335236;243,165665;242,754822;243,105621;241,593536;241,136063;241,051224;0,096720;0,124998;0,149887
2021/08/11;17:40:00; ;419,574829;418,777588;418,911224;420,971954;420,117310;420,174011;417,948364;416,823792;417,349609;25,722790;15,363647;27,158346;8,018849;40,419373;32,834900;44,628273;12,932657;11,249329;4,123168;3,757056;1,849498;0,113918;0,134162;0,114052; ; ; ;0,118143;35,879353;49,989006;2069,242432;13943,804688;13943,804688;23095,826172;4120,154785;14456,146484;23303,380859;0,964559;0,964559;0,985605;0,171535;2395,473145;242,219971;241,742203;241,920807;242,790344;242,481979;242,544785;241,512497;240,623886;240,897781;0,111729;0,145951;0,119378
2021/08/11;17:50:00; ;420,135101;419,828339;419,877441;421,246613;420,948578;421,245300;418,779968;418,582245;417,959839;25,404676;10,714184;8,877934;5,984187;40,472603;41,637962;15,428712;10,550051;12,192009;4,521255;4,046297;0,841964;0,089358;0,113447;0,094487; ; ; ;0,045532;71,854149;49,993622;2714,492920;8431,888672;8431,888672;14562,219727;4470,149414;9211,870117;15078,163086;0,915329;0,915329;0,961848;0,284435;2404,825439;242,597412;242,310272;242,463089;243,137878;242,990509;243,202820;241,678589;241,402542;241,608032;0,088849;0,128196;0,103057
